Date,Number_of_Sales
2018-03-27,3454.0
2018-03-28,3671.0
2018-03-29,3850.0
2018-03-30,5768.0
2018-03-31,3171.0
2018-04-01,2912.0
2018-04-02,3208.0
2018-04-03,3245.0
2018-04-04,2995.0
2018-04-05,2756.0
2018-04-06,3813.0
2018-04-07,2741.0
2018-04-08,7486.0
2018-04-09,5277.0
2018-04-10,3279.0
2018-04-11,3470.0
2018-04-12,2943.0
2018-04-13,6183.0
2018-04-14,4886.0
2018-04-15,3961.0
2018-04-16,3791.0
2018-04-17,5105.0
2018-04-18,4154.0
2018-04-19,3872.0
2018-04-20,4073.0
2018-04-21,2572.0
2018-04-22,1816.0
2018-04-23,1864.0
2018-04-24,2221.0
2018-04-25,2285.0
2018-04-26,1794.0
2018-04-27,3388.0
2018-04-28,5275.0
2018-04-29,9933.0
2018-04-30,3351.0
2018-05-01,2248.0
2018-05-02,2107.0
2018-05-03,1725.0
2018-05-04,2856.0
2018-05-05,3517.0
2018-05-06,2830.0
2018-05-07,2734.0
2018-05-08,3724.0
2018-05-09,2388.0
2018-05-10,2090.0
2018-05-11,2507.0
2018-05-12,2274.0
2018-05-13,1801.0
2018-05-14,1409.0
2018-05-15,1645.0
2018-05-16,2454.0
2018-05-17,3883.0
2018-05-18,3377.0
2018-05-19,3649.0
2018-05-20,2663.0
2018-05-21,1826.0
2018-05-22,1849.0
2018-05-23,1711.0
2018-05-24,3036.0
2018-05-25,2300.0
2018-05-26,2691.0
2018-05-27,2811.0
2018-05-28,2093.0
2018-05-29,4111.0
2018-05-30,4535.0
2018-05-31,3350.0
2018-06-01,2879.0
2018-06-02,2913.0
2018-06-03,2328.0
2018-06-04,2191.0
2018-06-05,2514.0
2018-06-06,2011.0
2018-06-07,2173.0
2018-06-08,2064.0
2018-06-09,2781.0
2018-06-10,2065.0
2018-06-11,3381.0
2018-06-12,2903.0
2018-06-13,2272.0
2018-06-14,1926.0
2018-06-15,5253.0
2018-06-16,2356.0
2018-06-17,2435.0
2018-06-18,2755.0
2018-06-19,2764.0
2018-06-20,1975.0
2018-06-21,3089.0
2018-06-22,5237.0
2018-06-23,3028.0
2018-06-24,3043.0
2018-06-25,2574.0
2018-06-26,2324.0
2018-06-27,2428.0
2018-06-28,2633.0
2018-06-29,3298.0
2018-06-30,2422.0
2018-07-01,1333.0
2018-07-02,699.0
2018-07-03,625.0
2018-07-04,755.0
2018-07-05,1008.0
2018-07-06,1716.0
2018-07-07,1266.0
2018-07-08,1785.0
2018-07-09,2797.0
2018-07-10,2047.0
2018-07-11,2421.0
2018-07-12,2988.0
2018-07-13,3820.0
2018-07-14,1616.0
2018-07-15,1484.0
2018-07-16,2185.0
2018-07-17,1924.0
2018-07-18,1882.0
2018-07-19,2303.0
2018-07-20,1910.0
2018-07-21,2259.0
2018-07-22,2292.0
2018-07-23,2548.0
2018-07-24,1921.0
2018-07-25,2501.0
2018-07-26,3437.0
2018-07-27,4152.0
2018-07-28,3147.0
2018-07-29,2248.0
2018-07-30,1862.0
2018-07-31,2074.0
2018-08-01,2561.0
2018-08-02,2369.0
2018-08-03,1777.0
2018-08-04,2013.0
2018-08-05,1847.0
2018-08-06,1621.0
2018-08-07,1421.0
2018-08-08,1484.0
2018-08-09,1409.0
2018-08-10,1491.0
2018-08-11,1871.0
2018-08-12,2161.0
2018-08-13,2251.0
2018-08-14,2708.0
2018-08-15,3014.0
2018-08-16,3656.0
2018-08-17,5069.0
2018-08-18,6522.0
2018-08-19,7076.0
2018-08-20,3614.0
2018-08-21,3583.0
2018-08-22,2536.0
2018-08-23,4129.0
2018-08-24,5265.0
2018-08-25,4909.0
2018-08-26,3686.0
2018-08-27,4922.0
2018-08-28,4107.0
2018-08-29,4946.0
2018-08-30,8273.0
2018-08-31,10452.0
2018-09-01,9428.0
2018-09-02,7954.0
2018-09-03,7259.0
2018-09-04,4942.0
2018-09-05,5548.0
2018-09-06,7238.0
2018-09-07,7929.0
2018-09-08,6100.0
2018-09-09,9153.0
2018-09-10,8053.0
2018-09-11,10900.0
2018-09-12,9830.0
2018-09-13,4450.0
2018-09-14,4769.0
2018-09-15,3798.0
2018-09-16,3222.0
2018-09-17,3862.0
2018-09-18,4251.0
2018-09-19,5355.0
2018-09-20,4417.0
2018-09-21,5320.0
2018-09-22,7094.0
2018-09-23,5515.0
2018-09-24,4863.0
2018-09-25,4778.0
2018-09-26,5883.0
2018-09-27,6231.0
2018-09-28,3660.0
2018-09-29,4270.0
2018-09-30,4996.0
2018-10-01,4399.0
2018-10-02,3133.0
2018-10-03,3768.0
2018-10-04,4343.0
2018-10-05,7423.0
2018-10-06,4459.0
2018-10-07,4497.0
2018-10-08,4246.0
2018-10-09,3700.0
2018-10-10,4321.0
2018-10-11,6296.0
2018-10-12,4699.0
2018-10-13,3963.0
2018-10-14,3315.0
2018-10-15,3116.0
2018-10-16,3368.0
2018-10-17,5520.0
2018-10-18,3487.0
2018-10-19,8085.0
2018-10-20,4665.0
2018-10-21,5497.0
2018-10-22,4224.0
2018-10-23,5205.0
2018-10-24,4289.0
2018-10-25,3555.0
2018-10-26,4587.0
2018-10-27,5444.0
2018-10-28,4289.0
2018-10-29,4287.0
2018-10-30,3810.0
2018-10-31,3745.0
2018-11-01,3948.0
2018-11-02,3844.0
2018-11-03,4622.0
2018-11-04,4723.0
2018-11-05,4453.0
2018-11-06,3780.0
2018-11-07,5183.0
2018-11-08,3756.0
2018-11-09,3554.0
2018-11-10,4082.0
2018-11-11,4138.0
2018-11-12,3985.0
2018-11-13,5317.0
2018-11-14,5480.0
2018-11-15,10241.0
2018-11-16,6584.0
2018-11-17,4875.0
2018-11-18,4623.0
2018-11-19,4089.0
2018-11-20,4032.0
2018-11-21,6435.0
2018-11-22,6627.0
2018-11-23,4612.0
2018-11-24,4544.0
2018-11-25,5181.0
2018-11-26,5978.0
2018-11-27,6138.0
2018-11-28,5129.0
2018-11-29,4627.0
2018-11-30,6103.0
2018-12-01,10880.0
2018-12-02,7487.0
2018-12-03,7209.0
2018-12-04,6327.0
2018-12-05,13724.0
2018-12-06,5644.0
2018-12-07,6441.0
2018-12-08,4289.0
2018-12-09,4475.0
2018-12-10,3115.0
2018-12-11,3562.0
2018-12-12,4104.0
2018-12-13,5377.0
2018-12-14,4860.0
2018-12-15,6438.0
2018-12-16,6041.0
2018-12-17,4716.0
2018-12-18,3770.0
2018-12-19,4075.0
2018-12-20,4975.0
2018-12-21,7135.0
2018-12-22,4024.0
2018-12-23,7018.0
2018-12-24,3948.0
2018-12-25,3173.0
2018-12-26,2962.0
2018-12-27,2879.0
2018-12-28,3247.0
